Row Labels,Count of effective_date_registration
20210101,284
20210102,226
20210103,195
20210104,170
20210105,50
20210106,204
20210107,248
20210108,261
20210109,246
20210110,189
20210111,139
20210112,38
20210113,182
20210114,254
20210115,133
20210116,318
20210117,206
20210118,164
20210119,52
20210120,195
20210121,218
20210122,101
20210123,69
20210124,35
20210125,31
20210126,43
20210127,182
20210128,229
20210129,262
20210130,164
20210131,90
20210201,54
20210202,80
20210203,201
20210204,323
20210205,324
20210206,281
20210207,272
20210208,115
20210209,62
20210210,179
20210211,308
20210212,307
20210213,309
20210214,240
20210215,116
20210216,51
20210217,62
20210218,271
20210219,285
20210220,313
20210221,230
20210222,117
20210223,53
20210224,224
20210225,345
20210226,272
20210227,321
20210228,235
20210301,102
20210302,100
20210303,284
20210304,299
20210305,279
20210306,271
20210307,244
20210308,55
20210309,63
20210310,281
20210311,287
20210312,273
20210313,194
20210314,166
20210315,49
20210316,32
20210317,35
20210318,23
20210319,25
20210320,64
20210321,53
20210322,46
20210323,41
20210324,263
20210325,259
20210326,294
20210327,243
20210328,162
20210329,49
20210330,68
20210331,300
20210401,295
20210402,330
20210403,326
20210404,240
20210405,59
20210406,64
20210407,337
20210408,315
20210409,279
20210410,323
20210411,258
20210412,74
20210413,42
20210414,303
20210415,309
20210416,330
20210417,314
20210418,257
20210419,55
20210420,60
20210421,295
20210422,320
20210423,310
20210424,335
20210425,291
20210426,58
20210427,72
20210428,317
20210429,336
20210430,342
20210501,518
20210502,214
20210503,56
20210504,39
20210505,314
20210506,326
20210507,325
20210508,329
20210509,262
20210510,49
20210511,76
20210512,345
20210513,339
20210514,344
20210515,270
20210516,264
20210517,57
20210518,45
20210519,353
20210520,361
20210521,319
20210522,337
20210523,280
20210524,71
20210525,38
20210526,336
20210527,362
20210528,323
20210529,336
20210530,265
20210531,178
20210601,47
20210602,313
20210603,319
20210604,355
20210605,342
20210606,238
20210607,40
20210608,46
20210609,322
20210610,304
20210611,350
20210612,279
20210613,253
20210614,66
20210615,91
20210616,332
20210617,343
20210618,323
20210619,306
20210620,252
20210621,61
20210622,1
20210623,335
20210624,304
20210625,312
20210626,272
20210627,231
20210628,68
20210629,39
20210630,52
20210701,360
20210702,378
20210703,311
20210704,273
20210705,97
20210706,62
20210707,316
20210708,385
20210709,329
20210710,350
20210711,260
20210712,71
20210713,60
20210714,348
20210715,324
20210716,344
20210717,326
20210718,251
20210719,71
20210720,45
20210721,358
20210722,310
20210723,303
20210724,301
20210725,277
20210726,61
20210727,79
20210728,351
20210729,366
20210730,353
20210731,299
20210801,237
20210802,76
20210803,46
20210804,218
20210805,416
20210806,360
20210807,336
20210808,298
20210809,68
20210810,65
20210811,368
20210812,375
20210813,351
20210814,340
20210815,283
20210816,90
20210817,64
20210818,383
20210819,374
20210820,381
20210821,376
20210822,262
20210823,58
20210824,74
20210825,378
20210826,379
20210827,339
20210828,340
20210829,288
20210830,82
20210831,106
20210901,380
20210902,399
20210903,359
20210904,373
20210905,313
20210906,96
20210907,60
20210908,401
20210909,404
20210910,366
20210911,368
20210912,277
20210913,87
20210914,78
20210915,368
20210916,349
20210917,397
20210918,386
20210919,291
20210920,70
20210921,60
20210922,390
20210923,362
20210924,353
20210925,312
20210926,293
20210927,86
20210928,73
20210929,434
20210930,367
20211001,331
20211002,323
20211003,311
20211004,76
20211005,41
20211006,75
20211007,473
20211008,435
20211009,426
20211010,350
20211011,83
20211012,90
20211013,418
20211014,309
20211015,356
20211016,399
20211017,301
20211018,31
20211019,102
20211020,406
20211021,396
20211022,401
20211023,364
20211024,307
20211025,91
20211026,61
20211027,396
20211028,509
20211029,521
20211030,528
20211031,497
20211101,124
20211102,1049
20211103,13
20211104,404
20211105,411
20211106,357
20211107,267
20211108,59
20211109,48
20211110,313
20211111,400
20211112,391
20211113,364
20211114,304
20211115,76
20211116,49
20211117,386
20211118,418
20211119,378
20211120,350
20211121,331
20211122,80
20211123,62
20211124,377
20211125,425
20211126,411
20211127,419
20211128,390
20211129,87
20211130,63
20211201,398
20211202,564
20211203,367
20211204,406
20211205,289
20211206,87
20211207,112
20211208,399
20211209,367
20211210,358
20211211,98
20211212,317
20211213,63
20211214,62
20211215,405
20211216,387
20211217,388
20211218,365
20211219,256
20211220,72
20211221,48
20211222,336
20211223,299
20211224,157
20211225,26
20211226,69
20211227,62
20211228,43
20211229,388
20211230,389
20211231,381
Grand Total,88158
