Row Labels,Count of effective_date_registration
20220101,860
20220102,914
20220103,202
20220104,148
20220105,959
20220106,858
20220107,912
20220108,848
20220109,808
20220110,190
20220111,140
20220112,852
20220113,861
20220114,818
20220115,857
20220116,822
20220117,189
20220118,173
20220119,805
20220120,772
20220121,747
20220122,402
20220123,133
20220124,57
20220125,282
20220126,652
20220127,927
20220128,891
20220129,870
20220130,428
20220131,191
20220201,249
20220202,1025
20220203,982
20220204,1007
20220205,996
20220206,977
20220207,224
20220208,256
20220209,1073
20220210,1038
20220211,917
20220212,927
20220213,969
20220214,213
20220215,190
20220216,355
20220217,1109
20220218,1019
20220219,996
20220220,1024
20220221,255
20220222,252
20220223,1203
20220224,1186
20220225,1119
20220226,1175
20220227,1280
20220228,356
20220301,2860
20220302,10
20220303,983
20220304,787
20220305,438
20220306,355
20220307,233
20220308,202
20220309,1024
20220310,1090
20220311,977
20220312,964
20220313,950
20220314,191
20220315,178
20220316,1029
20220317,1035
20220318,1050
20220319,979
20220320,907
20220321,305
20220322,236
20220323,393
20220324,1086
20220325,882
20220326,808
20220327,1072
20220328,251
20220329,189
20220330,1246
20220331,1913
20220401,1160
20220402,1043
20220403,1032
20220404,255
20220405,227
20220406,1070
20220407,1039
20220408,1024
20220409,994
20220410,1098
20220411,216
20220412,190
20220413,1033
20220414,986
20220415,939
20220416,963
20220417,974
20220418,213
20220419,242
20220420,1103
20220421,904
20220422,1010
20220423,1076
20220424,976
20220425,222
20220426,181
20220427,1047
20220428,965
20220429,1022
20220430,1023
20220501,1033
20220502,244
20220503,218
20220504,1086
20220505,1057
20220506,1052
20220507,2767
20220508,896
20220509,208
20220510,201
20220511,892
20220512,823
20220513,856
20220514,667
20220515,505
20220516,182
20220517,186
20220518,994
20220519,954
20220520,888
20220521,847
20220522,933
20220523,218
20220524,1304
20220525,37
20220526,934
20220527,952
20220528,902
20220529,1010
20220530,256
20220531,176
20220601,805
20220602,962
20220603,847
20220604,856
20220605,824
20220606,423
20220607,161
20220608,997
20220609,922
20220610,879
20220611,874
20220612,946
20220613,208
20220614,136
20220615,933
20220616,1052
20220617,929
20220618,1807
20220619,872
20220620,183
20220621,174
20220622,815
20220623,1059
20220624,932
20220625,1097
20220626,743
20220627,234
20220628,185
20220629,184
20220630,890
20220701,809
20220702,814
20220703,902
20220704,234
20220705,212
20220706,916
20220707,793
20220708,846
20220709,814
20220710,919
20220711,244
20220712,239
20220713,908
20220714,849
20220715,1141
20220716,842
20220717,931
20220718,157
20220719,188
20220720,821
20220721,880
20220722,870
20220723,975
20220724,1026
20220725,299
20220726,271
20220727,1033
20220728,1042
20220729,998
20220730,957
20220731,973
20220801,260
20220802,243
20220803,257
20220804,1028
20220805,987
20220806,990
20220807,920
20220808,278
20220809,191
20220810,1073
20220811,992
20220812,1129
20220813,977
20220814,1021
20220815,56
20220816,171
20220817,980
20220818,943
20220819,933
20220820,958
20220821,1016
20220822,252
20220823,217
20220824,1030
20220825,1175
20220826,959
20220827,962
20220828,893
20220829,270
20220830,264
20220831,1102
20220901,1168
20220902,981
20220903,1033
20220904,1019
20220905,272
20220906,252
20220907,1062
20220908,1017
20220909,941
20220910,958
20220911,1036
20220912,269
20220913,223
20220914,998
20220915,1162
20220916,899
20220917,926
20220918,951
20220919,224
20220920,191
20220921,1001
20220922,988
20220923,995
20220924,913
20220925,891
20220926,197
20220927,196
20220928,942
20220929,963
20220930,871
20221001,838
20221002,933
20221003,166
20221004,144
20221005,200
20221006,785
20221007,375
20221008,3
Grand Total,207410
