Row Labels,Count of effective_date_registration
20220101,535
20220102,577
20220103,142
20220104,101
20220105,635
20220106,624
20220107,539
20220108,563
20220109,541
20220110,117
20220111,89
20220112,592
20220113,582
20220114,583
20220115,527
20220116,507
20220117,123
20220118,95
20220119,553
20220120,493
20220121,530
20220122,300
20220123,83
20220124,56
20220125,178
20220126,489
20220127,660
20220128,595
20220129,563
20220130,314
20220131,120
20220201,129
20220202,706
20220203,596
20220204,641
20220205,654
20220206,637
20220207,142
20220208,164
20220209,710
20220210,656
20220211,631
20220212,574
20220213,617
20220214,149
20220215,131
20220216,259
20220217,710
20220218,689
20220219,627
20220220,671
20220221,176
20220222,132
20220223,734
20220224,824
20220225,746
20220226,735
20220227,890
20220228,250
20220301,2008
20220302,6
20220303,594
20220304,538
20220305,272
20220306,234
20220307,118
20220308,122
20220309,687
20220310,650
20220311,649
20220312,606
20220313,673
20220314,150
20220315,95
20220316,651
20220317,729
20220318,632
20220319,670
20220320,604
20220321,171
20220322,139
20220323,236
20220324,747
20220325,587
20220326,492
20220327,728
20220328,164
20220329,141
20220330,744
20220331,1270
20220401,677
20220402,676
20220403,687
20220404,141
20220405,105
20220406,772
20220407,688
20220408,718
20220409,583
20220410,625
20220411,153
20220412,113
20220413,695
20220414,602
20220415,582
20220416,577
20220417,615
20220418,147
20220419,131
20220420,690
20220421,577
20220422,605
20220423,651
20220424,620
20220425,111
20220426,113
20220427,659
20220428,635
20220429,605
20220430,650
20220501,667
20220502,165
20220503,140
20220504,755
20220505,719
20220506,728
20220507,1848
20220508,538
20220509,118
20220510,113
20220511,570
20220512,547
20220513,526
20220514,504
20220515,351
20220516,107
20220517,100
20220518,615
20220519,596
20220520,535
20220521,575
20220522,539
20220523,136
20220524,870
20220525,26
20220526,616
20220527,614
20220528,552
20220529,635
20220530,170
20220531,92
20220601,527
20220602,612
20220603,573
20220604,528
20220605,539
20220606,301
20220607,78
20220608,643
20220609,544
20220610,597
20220611,562
20220612,630
20220613,128
20220614,102
20220615,605
20220616,615
20220617,565
20220618,1131
20220619,599
20220620,120
20220621,107
20220622,604
20220623,755
20220624,534
20220625,679
20220626,493
20220627,119
20220628,91
20220629,118
20220630,601
20220701,536
20220702,517
20220703,551
20220704,143
20220705,123
20220706,614
20220707,556
20220708,545
20220709,578
20220710,572
20220711,135
20220712,132
20220713,582
20220714,594
20220715,855
20220716,554
20220717,620
20220718,100
20220719,130
20220720,554
20220721,629
20220722,563
20220723,648
20220724,669
20220725,162
20220726,151
20220727,650
20220728,624
20220729,607
20220730,619
20220731,628
20220801,156
20220802,153
20220803,144
20220804,649
20220805,613
20220806,675
20220807,631
20220808,150
20220809,120
20220810,713
20220811,644
20220812,847
20220813,698
20220814,696
20220815,28
20220816,132
20220817,646
20220818,634
20220819,684
20220820,614
20220821,625
20220822,135
20220823,154
20220824,677
20220825,861
20220826,636
20220827,637
20220828,691
20220829,170
20220830,175
20220831,726
20220901,766
20220902,693
20220903,696
20220904,722
20220905,184
20220906,142
20220907,702
20220908,710
20220909,647
20220910,620
20220911,700
20220912,150
20220913,129
20220914,707
20220915,828
20220916,581
20220917,697
20220918,694
20220919,143
20220920,135
20220921,655
20220922,594
20220923,723
20220924,631
20220925,634
20220926,128
20220927,124
20220928,681
20220929,708
20220930,587
20221001,574
20221002,587
20221003,108
20221004,79
20221005,130
20221006,559
20221007,290
20221008,1
Grand Total,135957
